AAABCHL;CHABALA
FOORSTTX;FOXTROTS
FOORSUU;FOUROUS
FOORTTX;FOXTROT
FOORUU;FOUROU
FOST;TOFS
GGGORSY;GROGGYS
GGIMNNO;MINGONG
GGIMNNOS;MINGONGS
GGINNOPP;PINGPONG
GGINNOPPS;PINGPONGS
GHI;GHI
GHILST;LIGHTS
GHINOOSST;SHOOTINGS
GHINOOST;SHOOTING
GHIS;GHIS
GHNNOOPRR;PRONGHORN
GIIINOR;ONIGIRI
GIIINORS;ONIGIRIS
GIIINR;NIGIRI
GIIINRS;NIGIRIS
GIILNNOST;LINGOTINS
GIILNNOT;LINGOTIN
GIINSSTUW;WINGSUITS
GIINSTUW;WINGSUIT
GILRSY;GIRLYS
GILRY;GIRLY
GINNNRSU;RUNNINGS
GINNNRU;RUNNING
GINOORST;TONGROIS
GLOSUV;VULGOS
GLOSV;VLOGS
GLOV;VLOG
GLPSU;PLUGS
GLPU;PLUG
GNNOO;OGNON
GNNOOS;OGNONS
HIIMNNOSU;NIHONIUMS
HIIMNNOU;NIHONIUM
HILMPRSTU;PHILTRUMS
HILMPRTU;PHILTRUM
HIOPSSY;PHYSIOS
HIOPSY;PHYSIO
HIPS;HIPS
HKOR;ROKH
HKORS;ROKHS
HLLPPSSUU;PUSHPULLS
HLLPPSUU;PUSHPULL
HNORSSU;HORNUSS
HOSST;SHOTS
HOSSUY;SHOYUS
HOST;SHOT
HOSUY;SHOYU
IIIILLPP;PILIPILI
IIIILLPPS;PILIPILIS
IIILNNOTV;INVOLTINI
IIJJSSTUU;JIUJITSUS
IIJJSTUU;JIUJITSU
IJNNSSTUU;NINJUTSUS
IJNNSTUU;NINJUTSU
IKLXY;KYLIX
IMORSSU;SURMOIS
INOPSS;PISSON
INOPSTU;POUNTIS
INOPTU;POUNTI
INPPSU;PINUPS
INPPU;PINUP
IOOPPRRTU;POTPOURRI
IORRSSU;SURSOIR
IPRSTZ;SPRITZ
IQ;QI
IQS;QIS
JMOO;MOJO
JMOOS;MOJOS
KMOO;MOOK
KMOOS;MOOKS
LLOOOPPR;ROPLOPLO
LLOOOPPRS;ROPLOPLOS
LMSSU;SLUMS
LMSU;SLUM
LNOOSZ;LONZOS
LNOOZ;LONZO
LNOSUZ;LONZUS
LNOUZ;LONZU
NOORSTTU;TOURTONS
NOORTTU;TOURTON
OORRSTTUU;TROUTROUS
OORRTTUU;TROUTROU
OPPPSU;POPUPS
OPPPU;POPUP
OSTTU;TUTOS
OTTU;TUTO
SSTTUU;STUUTS
STTUU;STUUT
